Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres,maioria
250370405000001,29,38,31,17,7,1,27,4,2,0,0,0,0,25,19,8,4,0,0,36,27,14,7,2,0,39,15,3,1,0,0,0,21,13,2,0,0,0,212,180,HOMEM
250370405000002,27,32,21,12,7,1,29,4,0,0,0,0,0,23,21,4,2,0,0,31,22,13,1,0,2,48,12,3,1,0,0,0,19,9,3,0,0,0,183,164,HOMEM
250370405000003,24,27,28,17,3,5,14,1,0,1,0,0,1,23,10,6,4,1,0,22,17,3,5,3,1,22,8,0,0,0,0,0,14,7,1,0,0,0,165,103,HOMEM
250370405000004,28,21,33,12,7,4,9,3,0,0,0,0,0,25,6,9,1,0,0,34,27,24,8,2,1,26,14,6,2,1,0,0,20,8,4,0,0,0,158,177,MULHER
250370405000005,31,29,40,19,5,6,12,2,2,1,0,0,0,29,14,9,3,0,0,46,38,24,10,6,5,24,25,12,3,1,0,0,21,7,2,1,1,0,202,226,MULHER
250370405000006,17,27,27,17,3,3,6,1,0,0,0,0,0,16,12,5,3,0,0,46,27,18,16,5,4,8,29,7,4,0,0,0,17,5,3,2,0,1,137,192,MULHER
250370405000007,26,30,27,12,3,2,10,2,0,0,0,0,0,24,15,8,3,0,0,56,40,31,10,7,2,35,39,15,3,1,0,0,17,5,4,0,0,0,162,265,MULHER
250370405000008,37,43,38,19,7,6,8,2,0,0,0,0,0,35,23,9,4,0,0,41,32,14,11,1,2,21,21,9,2,1,0,0,20,6,1,0,0,0,231,182,HOMEM
250370405000009,31,43,47,27,5,5,16,4,2,0,0,0,0,27,16,9,4,1,0,25,24,13,13,8,2,24,9,6,1,1,0,0,16,5,0,0,0,1,237,148,HOMEM
250370405000010,13,36,41,11,5,4,12,0,2,0,0,0,0,13,20,8,0,0,0,18,24,16,2,4,2,16,8,6,0,0,0,0,10,8,3,1,0,0,165,118,HOMEM
250370405000011,21,33,34,19,5,7,13,3,0,0,0,0,0,18,19,10,1,1,1,21,14,13,6,3,1,11,11,6,1,0,0,0,10,3,2,0,0,0,185,102,HOMEM
250370405000012,38,47,51,31,8,12,15,0,0,1,0,0,0,38,16,11,4,1,0,19,21,16,8,6,5,8,12,6,5,0,1,0,7,6,0,0,0,0,273,120,HOMEM
250370405000013,29,40,54,23,3,2,8,2,0,0,0,0,0,27,20,16,3,0,0,23,15,13,7,2,0,10,12,0,2,0,0,0,11,3,0,0,0,0,227,98,HOMEM
250370405000014,32,48,53,36,11,2,9,5,1,0,0,0,0,27,31,16,6,0,0,37,38,25,11,1,2,28,13,13,1,1,0,0,24,5,2,1,0,0,277,202,HOMEM
250370405000015,42,48,32,19,7,3,10,4,0,0,0,0,0,38,21,7,1,1,0,33,29,16,12,4,0,23,23,12,1,1,0,0,10,5,1,0,0,0,233,170,HOMEM
250370405000016,47,87,84,34,13,14,27,1,2,0,0,0,0,46,39,18,7,1,0,18,37,15,13,6,5,13,10,8,4,0,0,0,8,5,1,1,0,0,420,144,HOMEM
250370405000017,28,39,36,15,9,6,12,1,2,0,0,0,0,27,16,8,2,0,0,29,19,15,9,1,1,19,18,6,1,0,0,0,11,6,0,0,0,0,201,135,HOMEM
250370405000018,23,33,31,18,3,4,10,1,0,0,0,0,0,22,20,10,1,0,1,34,27,21,11,3,7,9,25,14,1,2,0,0,9,4,1,2,0,1,177,171,HOMEM
250370405000019,24,35,41,11,4,4,2,0,0,0,0,0,0,24,16,12,0,0,0,13,24,13,8,4,2,15,5,12,4,1,0,0,8,1,1,1,0,0,173,112,HOMEM
250370405000020,16,20,28,10,4,2,6,0,1,0,0,0,0,16,8,6,0,0,0,21,18,11,11,3,2,6,17,8,4,0,0,0,4,4,0,0,0,0,117,109,HOMEM
250370405000021,33,48,57,23,8,17,18,2,1,0,0,0,0,31,19,12,3,0,0,41,39,33,15,10,11,22,30,16,7,1,0,1,11,5,0,1,0,0,272,243,HOMEM
250370405000022,38,53,45,20,6,5,15,0,0,0,0,0,0,38,24,7,4,0,0,33,28,18,15,4,8,24,19,7,3,0,0,1,14,7,1,0,0,0,255,182,HOMEM
